id,date,home_team,home_team_score,visit_team,visit_team_score
400579518,2015-04-15,New York Knicks,90,Detroit,112
400578297,2015-10-29,Indiana,103,Philadelphia 76ers,91
400578315,2015-10-31,Milwaukee,93,Philadelphia 76ers,81
400578322,2015-11-01,Philadelphia 76ers,96,Miami,114
400578335,2015-11-03,Philadelphia 76ers,93,Houston,104
400578350,2015-11-05,Philadelphia 76ers,89,Orlando,91
400578365,2015-11-07,Philadelphia 76ers,115,Chicago,118
400578385,2015-11-09,Toronto,120,Philadelphia 76ers,88
400578412,2015-11-13,Dallas,123,Philadelphia 76ers,70
400578419,2015-11-14,Houston,88,Philadelphia 76ers,87
400578444,2015-11-17,San Antonio,100,Philadelphia 76ers,75
400578454,2015-11-19,Philadelphia 76ers,90,Boston,101
400578465,2015-11-21,Philadelphia 76ers,96,Phoenix,122
400578479,2015-11-22,NY Knicks,91,Philadelphia 76ers,83
400578492,2015-11-24,Philadelphia 76ers,104,Portland,114
400578505,2015-11-26,Philadelphia 76ers,91,Brooklyn,99
400578527,2015-11-29,Philadelphia 76ers,103,Dallas,110
400578541,2015-12-01,Philadelphia 76ers,103,San Antonio,109
400578562,2015-12-03,Minnesota,77,Philadelphia 76ers,85
400578569,2015-12-05,Philadelphia 76ers,91,Oklahoma City,103
400578580,2015-12-06,Detroit,101,Philadelphia 76ers,108
400578611,2015-12-10,Atlanta,95,Philadelphia 76ers,79
400578624,2015-12-12,Brooklyn,88,Philadelphia 76ers,70
400578637,2015-12-13,Philadelphia 76ers,115,Memphis,120
400578649,2015-12-15,Philadelphia 76ers,87,Boston,105
400578676,2015-12-19,Philadelphia 76ers,91,Charlotte,109
400578697,2015-12-21,Orlando,88,Philadelphia 76ers,96
400578714,2015-12-23,Miami,87,Philadelphia 76ers,91
400578733,2015-12-26,Portland,114,Philadelphia 76ers,93
400578742,2015-12-27,Utah,88,Philadelphia 76ers,71
400578766,2015-12-30,Golden State,126,Philadelphia 76ers,86
400578783,2015-01-02,Phoenix,112,Philadelphia 76ers,96
400578794,2015-01-03,LA,127,Philadelphia 76ers,91
